16:46:36.647 > Connecting to ATTTq9BPPi
16:46:36.647 > ..................2227.78
16:46:45.166 > Hours: 6
16:46:45.166 > Minutes: 0
16:46:45.167 > Seconds: 0
16:47:05.185 > Hours: 6
16:47:05.186 > Minutes: 0
16:47:05.188 > Seconds: 0
16:47:35.268 > Hours: 6
16:47:35.270 > Minutes: 0
16:47:35.271 > Seconds: 0
16:48:05.185 > Hours: 6
16:48:05.187 > Minutes: 0
16:48:05.188 > Seconds: 1
16:48:35.282 > Hours: 6
16:48:35.285 > Minutes: 0
16:48:35.285 > Seconds: 1
16:49:05.187 > Hours: 6
16:49:05.189 > Minutes: 0
16:49:05.190 > Seconds: 1
16:49:35.257 > Hours: 6
16:49:35.259 > Minutes: 0
16:49:35.262 > Seconds: 2
16:50:05.379 > Hours: 6
16:50:05.381 > Minutes: 0
16:50:05.382 > Seconds: 2
16:50:35.259 > Hours: 6
16:50:35.261 > Minutes: 0
16:50:35.261 > Seconds: 3
16:51:05.286 > Hours: 6
16:51:05.288 > Minutes: 0
16:51:05.291 > Seconds: 3
16:51:35.189 > Hours: 6
16:51:35.191 > Minutes: 0
16:51:35.193 > Seconds: 3
16:52:05.260 > Hours: 6
16:52:05.263 > Minutes: 0
16:52:05.265 > Seconds: 4
16:52:35.322 > Hours: 6
16:52:35.324 > Minutes: 0
16:52:35.326 > Seconds: 4
16:53:05.250 > Hours: 6
16:53:05.252 > Minutes: 0
16:53:05.254 > Seconds: 5
16:53:35.191 > Hours: 6
16:53:35.194 > Minutes: 0
16:53:35.195 > Seconds: 5
16:54:05.222 > Hours: 6
16:54:05.224 > Minutes: 0
16:54:05.225 > Seconds: 6
16:54:36.293 > Hours: 6
16:54:36.295 > Minutes: 0
16:54:36.297 > Seconds: 6
16:55:06.294 > Hours: 6
16:55:06.296 > Minutes: 0
16:55:06.297 > Seconds: 6
16:55:36.310 > Hours: 6
16:55:36.312 > Minutes: 0
16:55:36.313 > Seconds: 7
16:56:06.264 > Hours: 6
16:56:06.266 > Minutes: 0
16:56:06.268 > Seconds: 7
16:56:36.295 > Hours: 6
16:56:36.297 > Minutes: 0
16:56:36.298 > Seconds: 8
16:57:06.341 > Hours: 6
16:57:06.343 > Minutes: 0
16:57:06.344 > Seconds: 8
16:57:36.266 > Hours: 6
16:57:36.268 > Minutes: 0
16:57:36.269 > Seconds: 8
16:58:07.290 > Hours: 6
16:58:07.293 > Minutes: 0
16:58:07.294 > Seconds: 9
16:58:36.338 > Hours: 6
16:58:36.340 > Minutes: 0
16:58:36.341 > Seconds: 9
16:59:06.328 > Hours: 6
16:59:06.330 > Minutes: 0
16:59:06.331 > Seconds: 10
16:59:36.347 > Hours: 6
16:59:36.350 > Minutes: 0
16:59:36.351 > Seconds: 10
17:00:06.268 > Hours: 6
17:00:06.270 > Minutes: 0
17:00:06.271 > Seconds: 10
17:00:36.369 > Hours: 6
17:00:36.372 > Minutes: 0
17:00:36.373 > Seconds: 11
17:01:06.340 > Hours: 6
17:01:06.342 > Minutes: 0
17:01:06.343 > Seconds: 11
17:01:36.331 > Hours: 6
17:01:36.333 > Minutes: 0
17:01:36.334 > Seconds: 12
17:02:06.440 > Hours: 6
17:02:06.443 > Minutes: 0
17:02:06.444 > Seconds: 12
17:02:36.271 > Hours: 6
17:02:36.273 > Minutes: 0
17:02:36.274 > Seconds: 13
17:03:06.332 > Hours: 6
17:03:06.334 > Minutes: 0
17:03:06.334 > Seconds: 13
