17:08:03.894 > Connecting to ***REMOVED***
17:08:03.894 > ................................2227.78
17:08:19.325 > Hours: 6
17:08:19.326 > Minutes: 0
17:08:19.327 > Seconds: 0
17:08:32.375 > Hours: 6
17:08:32.377 > Minutes: 0
17:08:32.377 > Seconds: 0
17:09:02.431 > Hours: 6
17:09:02.434 > Minutes: 0
17:09:02.434 > Seconds: 0
17:09:32.376 > Hours: 6
17:09:32.377 > Minutes: 0
17:09:32.379 > Seconds: 0
17:10:02.416 > Hours: 6
17:10:02.419 > Minutes: 0
17:10:02.420 > Seconds: 1
17:10:32.431 > Hours: 6
17:10:32.434 > Minutes: 0
17:10:32.434 > Seconds: 1
17:11:02.377 > Hours: 6
17:11:02.380 > Minutes: 0
17:11:02.382 > Seconds: 2
17:11:32.409 > Hours: 6
17:11:32.411 > Minutes: 0
17:11:32.412 > Seconds: 2
17:12:02.419 > Hours: 6
17:12:02.421 > Minutes: 0
17:12:02.422 > Seconds: 3
17:12:32.430 > Hours: 6
17:12:32.433 > Minutes: 0
17:12:32.434 > Seconds: 3
17:13:02.380 > Hours: 6
17:13:02.381 > Minutes: 0
17:13:02.382 > Seconds: 3
17:13:32.444 > Hours: 6
17:13:32.448 > Minutes: 0
17:13:32.449 > Seconds: 4
17:14:02.381 > Hours: 6
17:14:02.383 > Minutes: 0
17:14:02.383 > Seconds: 4
17:14:32.432 > Hours: 6
17:14:32.434 > Minutes: 0
17:14:32.435 > Seconds: 5
17:15:02.462 > Hours: 6
17:15:02.465 > Minutes: 0
17:15:02.465 > Seconds: 5
17:15:32.422 > Hours: 6
17:15:32.425 > Minutes: 0
17:15:32.426 > Seconds: 5
17:16:02.441 > Hours: 6
17:16:02.443 > Minutes: 0
17:16:02.444 > Seconds: 6
17:16:32.383 > Hours: 6
17:16:32.386 > Minutes: 0
17:16:32.387 > Seconds: 6
17:17:02.424 > Hours: 6
17:17:02.427 > Minutes: 0
17:17:02.428 > Seconds: 7
17:17:32.445 > Hours: 6
17:17:32.447 > Minutes: 0
17:17:32.448 > Seconds: 7
17:18:02.384 > Hours: 6
17:18:02.387 > Minutes: 0
17:18:02.388 > Seconds: 7
17:18:32.446 > Hours: 6
17:18:32.448 > Minutes: 0
17:18:32.450 > Seconds: 8
17:19:02.426 > Hours: 6
17:19:02.428 > Minutes: 0
17:19:02.430 > Seconds: 8
17:19:32.442 > Hours: 6
17:19:32.444 > Minutes: 0
17:19:32.445 > Seconds: 9
17:20:02.387 > Hours: 6
17:20:02.389 > Minutes: 0
17:20:02.389 > Seconds: 9
17:20:32.668 > Hours: 6
17:20:32.670 > Minutes: 0
17:20:32.672 > Seconds: 10
17:21:02.387 > Hours: 6
17:21:02.390 > Minutes: 0
17:21:02.390 > Seconds: 10
17:21:32.529 > Hours: 6
17:21:32.531 > Minutes: 0
17:21:32.532 > Seconds: 10
17:22:02.509 > Hours: 6
17:22:02.512 > Minutes: 0
17:22:02.512 > Seconds: 11
17:22:32.468 > Hours: 6
17:22:32.470 > Minutes: 0
17:22:32.471 > Seconds: 11
17:23:02.390 > Hours: 6
