18:04:55.129 > Connecting to ATTTq9BPPi
18:04:55.129 > .......222.78
18:04:58.137 > Hours: 6
18:04:58.138 > Minutes: 0
18:04:58.139 > Seconds: 0
18:05:03.658 > Hours: 6
18:05:03.660 > Minutes: 0
18:05:03.661 > Seconds: 0
18:05:13.709 > Hours: 6
18:05:13.711 > Minutes: 0
18:05:13.712 > Seconds: 2
18:05:23.700 > Hours: 6
18:05:23.702 > Minutes: 0
18:05:23.703 > Seconds: 3
18:05:33.699 > Hours: 6
18:05:33.702 > Minutes: 0
18:05:33.702 > Seconds: 4
18:05:43.700 > Hours: 6
18:05:43.702 > Minutes: 0
18:05:43.702 > Seconds: 6
18:05:53.700 > Hours: 6
18:05:53.702 > Minutes: 0
18:05:53.704 > Seconds: 7
