18:06:12.539 > Connecting to ATTTq9BPPi
18:06:12.539 > .........222.78
18:06:16.560 > Hours: 6
18:06:16.562 > Minutes: 0
18:06:16.562 > Seconds: 0
18:06:21.047 > Hours: 6
18:06:21.049 > Minutes: 0
18:06:21.051 > Seconds: 0
18:06:31.157 > Hours: 6
18:06:31.160 > Minutes: 0
18:06:31.162 > Seconds: 2
18:06:41.238 > Hours: 6
18:06:41.243 > Minutes: 0
18:06:41.243 > Seconds: 3
18:06:51.171 > Hours: 6
18:06:51.173 > Minutes: 0
18:06:51.174 > Seconds: 4
18:07:01.180 > Hours: 6
18:07:01.182 > Minutes: 0
18:07:01.184 > Seconds: 6
18:07:11.241 > Hours: 6
18:07:11.245 > Minutes: 0
18:07:11.245 > Seconds: 7
18:07:21.300 > Hours: 6
18:07:21.302 > Minutes: 0
18:07:21.304 > Seconds: 8
18:07:31.159 > Hours: 6
18:07:31.162 > Minutes: 0
18:07:31.162 > Seconds: 10
18:07:41.048 > Hours: 6
18:07:41.050 > Minutes: 0
18:07:41.052 > Seconds: 11
18:07:51.089 > Hours: 6
18:07:51.092 > Minutes: 0
18:07:51.093 > Seconds: 13
18:08:01.079 > Hours: 6
18:08:01.082 > Minutes: 0
18:08:01.083 > Seconds: 14
18:08:11.079 > Hours: 6
18:08:11.083 > Minutes: 0
18:08:11.083 > Seconds: 15
18:08:21.090 > Hours: 6
18:08:21.092 > Minutes: 0
18:08:21.093 > Seconds: 17
